"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Number of people","Concentration"
"06","California","06009","Calaveras","2013","54%","","24,844","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2013","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2013","46%","","21,273","Concentration: (not-detected)"
"06","California","06009","Calaveras","2014","37%","","17,004","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2014","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2014","63%","","29,014","Concentration: (not-detected)"
"06","California","06009","Calaveras","2015","17%","","7,741","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2015","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2015","83%","","36,778","Concentration: (not-detected)"
"06","California","06009","Calaveras","2016","24%","","13,756","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2016","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2016","76%","","43,750","Concentration: (not-detected)"
"06","California","06009","Calaveras","2017","7%","","3,836","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2017","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2017","93%","","50,835","Concentration: (not-detected)"
"06","California","06009","Calaveras","2018","0%","","99","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2018","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2018","100%","","36,599","Concentration: (not-detected)"
"06","California","06009","Calaveras","2019","0%","","99","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2019","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2019","100%","","42,898","Concentration: (not-detected)"
"06","California","06009","Calaveras","2020","0%","","99","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2020","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2020","100%","","39,944","Concentration: (not-detected)"
"06","California","06011","Colusa","1999","95%","","3,623","Concentration: (0-<=10)"
"06","California","06011","Colusa","1999","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","1999","5%","","182","Concentration: (not-detected)"
"06","California","06011","Colusa","2000","27%","","2,656","Concentration: (0-<=10)"
"06","California","06011","Colusa","2000","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2000","73%","","7,068","Concentration: (not-detected)"
"06","California","06011","Colusa","2001","25%","","2,656","Concentration: (0-<=10)"
"06","California","06011","Colusa","2001","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2001","75%","","7,830","Concentration: (not-detected)"
"06","California","06011","Colusa","2002","85%","","7,550","Concentration: (0-<=10)"
"06","California","06011","Colusa","2002","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2002","15%","","1,323","Concentration: (not-detected)"
"06","California","06011","Colusa","2003","28%","","2,656","Concentration: (0-<=10)"
"06","California","06011","Colusa","2003","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2003","72%","","6,948","Concentration: (not-detected)"
"06","California","06011","Colusa","2004","24%","","2,300","Concentration: (0-<=10)"
"06","California","06011","Colusa","2004","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2004","76%","","7,448","Concentration: (not-detected)"
"06","California","06011","Colusa","2005","36%","","3,623","Concentration: (0-<=10)"
"06","California","06011","Colusa","2005","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2005","64%","","6,307","Concentration: (not-detected)"
"06","California","06011","Colusa","2006","55%","","2,436","Concentration: (0-<=10)"
"06","California","06011","Colusa","2006","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2006","45%","","2,005","Concentration: (not-detected)"
"06","California","06011","Colusa","2007","24%","","2,436","Concentration: (0-<=10)"
"06","California","06011","Colusa","2007","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2007","76%","","7,630","Concentration: (not-detected)"
"06","California","06011","Colusa","2008","26%","","2,618","Concentration: (0-<=10)"
"06","California","06011","Colusa","2008","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2008","74%","","7,448","Concentration: (not-detected)"
"06","California","06011","Colusa","2009","26%","","2,618","Concentration: (0-<=10)"
"06","California","06011","Colusa","2009","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2009","74%","","7,448","Concentration: (not-detected)"
"06","California","06011","Colusa","2010","28%","","2,838","Concentration: (0-<=10)"
"06","California","06011","Colusa","2010","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2010","72%","","7,448","Concentration: (not-detected)"
"06","California","06011","Colusa","2011","30%","","2,974","Concentration: (0-<=10)"
"06","California","06011","Colusa","2011","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2011","70%","","6,948","Concentration: (not-detected)"
"06","California","06011","Colusa","2012","27%","","2,792","Concentration: (0-<=10)"
"06","California","06011","Colusa","2012","0%","","0","Concentration: (>10)"
