"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Number of people","Concentration"
"06","California","06007","Butte","2013","5%","","6,735","Concentration: (0-<=10)"
"06","California","06007","Butte","2013","0%","","100","Concentration: (>10)"
"06","California","06007","Butte","2013","95%","","137,310","Concentration: (not-detected)"
"06","California","06007","Butte","2014","78%","","100,535","Concentration: (0-<=10)"
"06","California","06007","Butte","2014","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2014","22%","","29,134","Concentration: (not-detected)"
"06","California","06007","Butte","2015","0%","","0","Concentration: (0-<=10)"
"06","California","06007","Butte","2015","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2015","100%","","120,925","Concentration: (not-detected)"
"06","California","06007","Butte","2016","8%","","9,447","Concentration: (0-<=10)"
"06","California","06007","Butte","2016","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2016","92%","","102,059","Concentration: (not-detected)"
"06","California","06007","Butte","2017","1%","","1,435","Concentration: (0-<=10)"
"06","California","06007","Butte","2017","0%","","100","Concentration: (>10)"
"06","California","06007","Butte","2017","99%","","144,454","Concentration: (not-detected)"
"06","California","06007","Butte","2018","6%","","6,662","Concentration: (0-<=10)"
"06","California","06007","Butte","2018","0%","","100","Concentration: (>10)"
"06","California","06007","Butte","2018","94%","","108,233","Concentration: (not-detected)"
"06","California","06007","Butte","2019","0%","","280","Concentration: (0-<=10)"
"06","California","06007","Butte","2019","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2019","100%","","116,303","Concentration: (not-detected)"
"06","California","06007","Butte","2020","0%","","0","Concentration: (0-<=10)"
"06","California","06007","Butte","2020","0%","","180","Concentration: (>10)"
"06","California","06007","Butte","2020","100%","","116,355","Concentration: (not-detected)"
"06","California","06009","Calaveras","1999","0%","","99","Concentration: (0-<=10)"
"06","California","06009","Calaveras","1999","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","1999","100%","","42,595","Concentration: (not-detected)"
"06","California","06009","Calaveras","2000","0%","","0","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2000","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2000","100%","","38,515","Concentration: (not-detected)"
"06","California","06009","Calaveras","2001","0%","","0","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2001","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2001","100%","","39,195","Concentration: (not-detected)"
"06","California","06009","Calaveras","2002","0%","","99","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2002","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2002","100%","","42,720","Concentration: (not-detected)"
"06","California","06009","Calaveras","2003","0%","","125","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2003","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2003","100%","","46,256","Concentration: (not-detected)"
"06","California","06009","Calaveras","2004","0%","","174","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2004","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2004","100%","","47,212","Concentration: (not-detected)"
"06","California","06009","Calaveras","2005","0%","","150","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2005","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2005","100%","","45,981","Concentration: (not-detected)"
"06","California","06009","Calaveras","2006","0%","","24","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2006","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2006","100%","","46,477","Concentration: (not-detected)"
"06","California","06009","Calaveras","2007","1%","","150","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2007","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2007","99%","","26,446","Concentration: (not-detected)"
"06","California","06009","Calaveras","2008","3%","","1,395","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2008","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2008","97%","","45,856","Concentration: (not-detected)"
"06","California","06009","Calaveras","2009","13%","","6,735","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2009","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2009","87%","","44,077","Concentration: (not-detected)"
"06","California","06009","Calaveras","2010","0%","","0","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2010","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2010","100%","","41,904","Concentration: (not-detected)"
"06","California","06009","Calaveras","2011","0%","","150","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2011","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2011","100%","","42,801","Concentration: (not-detected)"
"06","California","06009","Calaveras","2012","0%","","0","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2012","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2012","100%","","46,006","Concentration: (not-detected)"
"06","California","06009","Calaveras","2013","0%","","0","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2013","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2013","100%","","40,985","Concentration: (not-detected)"
"06","California","06009","Calaveras","2014","0%","","0","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2014","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2014","100%","","45,699","Concentration: (not-detected)"
"06","California","06009","Calaveras","2015","0%","","0","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2015","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2015","100%","","39,391","Concentration: (not-detected)"
"06","California","06009","Calaveras","2016","0%","","0","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2016","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2016","100%","","57,480","Concentration: (not-detected)"
"06","California","06009","Calaveras","2017","0%","","0","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2017","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2017","100%","","54,181","Concentration: (not-detected)"
"06","California","06009","Calaveras","2018","0%","","0","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2018","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2018","100%","","36,055","Concentration: (not-detected)"
"06","California","06009","Calaveras","2019","0%","","0","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2019","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2019","100%","","42,623","Concentration: (not-detected)"
"06","California","06009","Calaveras","2020","0%","","0","Concentration: (0-<=10)"
"06","California","06009","Calaveras","2020","0%","","0","Concentration: (>10)"
"06","California","06009","Calaveras","2020","100%","","43,165","Concentration: (not-detected)"
"06","California","06011","Colusa","1999","93%","","2,482","Concentration: (0-<=10)"
"06","California","06011","Colusa","1999","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","1999","7%","","200","Concentration: (not-detected)"
"06","California","06011","Colusa","2000","61%","","1,323","Concentration: (0-<=10)"
"06","California","06011","Colusa","2000","39%","","856","Concentration: (>10)"
"06","California","06011","Colusa","2000","0%","","0","Concentration: (not-detected)"
"06","California","06011","Colusa","2001","98%","","5,807","Concentration: (0-<=10)"
"06","California","06011","Colusa","2001","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2001","2%","","120","Concentration: (not-detected)"
"06","California","06011","Colusa","2002","100%","","5,250","Concentration: (0-<=10)"
"06","California","06011","Colusa","2002","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2002","0%","","0","Concentration: (not-detected)"
"06","California","06011","Colusa","2003","0%","","0","Concentration: (0-<=10)"
"06","California","06011","Colusa","2003","100%","","1,679","Concentration: (>10)"
"06","California","06011","Colusa","2003","0%","","0","Concentration: (not-detected)"
"06","California","06011","Colusa","2004","0%","","0","Concentration: (0-<=10)"
"06","California","06011","Colusa","2004","100%","","500","Concentration: (>10)"
"06","California","06011","Colusa","2004","0%","","0","Concentration: (not-detected)"
"06","California","06011","Colusa","2005","100%","","182","Concentration: (0-<=10)"
"06","California","06011","Colusa","2005","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2005","0%","","0","Concentration: (not-detected)"
"06","California","06011","Colusa","2006","96%","","7,266","Concentration: (0-<=10)"
"06","California","06011","Colusa","2006","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2006","4%","","320","Concentration: (not-detected)"
"06","California","06011","Colusa","2007","88%","","3,823","Concentration: (0-<=10)"
"06","California","06011","Colusa","2007","0%","","0","Concentration: (>10)"
"06","California","06011","Colusa","2007","12%","","500","Concentration: (not-detected)"
